row num,product_name,category,description,price
1,Pet Camera with Treat Dispenser,Pets,Monitor and interact with your pet remotely with this camera.,351.19
2,Whole Wheat Pita Bread,Food - Bread,"Soft and fluffy whole wheat pita bread, great for wraps.",432.21
3,Cocoa Powder,Food - Baking,Rich cocoa powder for baking and chocolate recipes.,131.11
4,Roasted Garlic Mashed Potatoes,Food - Frozen Foods,Creamy mashed potatoes infused with roasted garlic flavor.,579.19
5,Mini Electric Kettle,Kitchen,Quick boiling kettle for small kitchens and dorms.,546.43
6,Blackberry Jam,Food - Condiments,Delicious homemade style blackberry jam.,562.29
7,Multicolored LED Strip Lights,Home,Flexible LED lights for creative home lighting designs.,95.57
8,Sriracha Chili Sauce,Food - Condiments,Spicy chili sauce with garlic and sugar for a flavor kick.,674.1
9,Automatic Pet Feeder,Pets,Programmable pet feeder for scheduled meals.,956.11
10,Coconut Oil Spray,Food - Cooking Oils,A zero-calorie coconut oil spray for cooking and baking.,884.52
11,Dog Frisbee Toy,Pets,Durable and soft frisbee designed for dogs to play with.,72.39
12,Apricot Jam,Food - Condiments,Sweet and tangy jam made from natural apricots.,587.43
13,Summer Tank Dress,Clothing - Dresses,"A lightweight tank dress, ideal for warm weather outings.",901.96
14,Dried Cranberries,Food - Snacks,"Sweet and tart dried cranberries, great for salads and baking.",752.4
15,Chicken Salad Kit,Food - Prepared Foods,All-in-one kit for making delicious chicken salad.,168.79
16,Classic Black Trousers,Clothing - Pants,Timeless black trousers for a smart and sophisticated look.,496.14
17,Electric Food Slicer,Kitchen,"Versatile slicer for meats, cheeses, and vegetables.",432.73
18,Sweet Corn Fritters,Food - Frozen,Golden-brown fritters made with sweet corn.,367.6
19,Organic Honeycrisp Apples,Food - Fruits,"Sweet and crisp apples, perfect for snacking.",556.16
20,Portable Hammock Swing,Outdoor,Lightweight and portable swing hammock for relaxing outdoors.,254.13
21,Garden Kneeler and Seat,Garden,Convertible kneeler and seat for gardening comfort.,835.81
22,Wall Art Stickers,Home,Removable wall art stickers for home decoration.,366.89
23,Fresh Lemons,Food - Fresh Produce,Citrusy lemons perfect for drinks and cooking.,367.52
24,Travel Pillow with Memory Foam,Travel,Ergonomically designed neck pillow for comfortable travel.,220.75
25,Kids' Learning Tablet,Electronics,Educational tablet designed for preschool-age children.,789.09
26,Gluten-Free Biscuits,Food - Baking,Fluffy biscuits made without gluten,281.4
27,Whipped Cream Cheese,Food - Dairy,"Light and fluffy cream cheese, perfect for bagels or cooking.",219.89
28,Honey Sesame Chicken,Food - Frozen Food,A delicious chicken dish featuring honey and sesame flavors.,964.25
